date,marketCap,open,close
2025-12-28,1250527254,104635
2025-12-21,148830433,111114
2025-12-14,143144291,115032
2025-12-07,125746480,108727
2025-11-30,165288753,115927
2025-11-23,191760820,122513
2025-11-16,174469712,112196
2025-11-09,200707973,115235
2025-11-02,239098333,115689
2025-10-26,171443337,111996
2025-10-19,156129469,108004
2025-10-12,157117461,113553
2025-10-05,180426798,116918
2025-09-28,183786948,119165
2025-09-21,164189834,113919
2025-09-14,170062708,119823
2025-09-07,160351214,117208
2025-08-31,151529040,119255
2025-08-24,131899611,109302
2025-08-17,131173367,108594
2025-08-10,125768294,101307
2025-08-03,107890441,105738
2025-07-27,128601125,105721
2025-07-20,106304491,105622
2025-07-13,116854418,108592
2025-07-06,161775159,106558
2025-06-29,144023208,104215
2025-06-22,101960460,94244
2025-06-15,113511637,93880
2025-06-08,100335538,84757
2025-06-01,82448569,83752
2025-05-25,78744922,77816
2025-05-18,107762641,81990
2025-05-11,92207351,85338
2025-05-04,105617267,82610
2025-04-27,90316461,80968
2025-04-20,88906901,94134
2025-04-13,62804539,96362
2025-04-06,62656702,96042
2025-03-30,63042006,96790
2025-03-23,73273147,97594
2025-03-16,76952376,102720
2025-03-09,76649887,101750
2025-03-02,70931382,94508
2025-02-23,89235448,98971
2025-02-16,85154891,94362
2025-02-09,85795899,95065
2025-02-02,130963354,104662
2025-01-26,80381196,101194
2025-01-19,75926671,97041
2025-01-12,77659815,97986
2025-01-05,96503641,89058
2024-12-29,53158189,80341
2024-12-22,114884216,68596
